Dados quantitativos e sentido de deslocamento,,,,,,,,,,,,,,,,,
ORIGEM,DESTINO,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
Parnamirim,Torre,0,11,7,4,1,1,1,1,5,2,2,5,6,6,52,"3,6%"
Parnamirim,Centro,52,67,28,23,11,19,10,7,12,13,12,20,28,5,307,"21,5%"
Parnamirim,Espinheiro,1,7,9,3,3,6,0,6,1,2,2,6,3,1,50,"3,5%"
Espinheiro,Parnamirim,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,"0,3%"
Espinheiro,Torre,5,5,5,4,5,6,8,4,6,8,7,21,13,4,101,"7,1%"
Espinheiro,Centro,0,1,1,1,1,1,2,2,0,3,2,1,3,0,18,"1,3%"
Centro,Espinheiro,0,0,3,2,3,1,2,6,3,3,4,6,5,2,40,"2,8%"
Centro,Parnamirim,2,1,2,1,1,8,3,2,1,5,6,8,8,4,52,"3,6%"
Centro,Torre,1,0,5,4,1,7,0,2,3,1,4,8,10,4,50,"3,5%"
Torre,Centro,32,24,14,10,15,11,8,3,4,9,5,8,10,5,158,"11,0%"
Torre,Espinheiro,47,95,49,35,34,29,20,22,28,27,40,45,57,25,553,"38,6%"
Torre,Parnamirim,3,8,1,4,2,1,1,1,1,2,10,5,3,4,46,"3,2%"
,TOTAL,143,222,124,91,77,90,55,57,64,75,94,133,146,60,1431,
,Percentual,"9,99%","15,51%","8,67%","6,36%","5,38%","6,29%","3,84%","3,98%","4,47%","5,24%","6,57%","9,29%","10,20%","4,19%","100,00%",
,,,,,,,,,,,,,,,,,
Dados qualitativos padrões,,,,,,,,,,,,,,,,,
,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Mulher,16,7,7,9,4,0,1,1,2,2,8,6,8,5,76,"5,3%"
,Crianças e adolescentes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Capacete,3,15,13,13,5,6,7,3,6,4,4,7,22,25,133,"9,3%"
,Carona criança,3,4,3,1,0,3,0,0,2,0,3,4,6,2,31,"2,2%"
,Carona mulher,,,,,,,,,,,,,,,,
,Carona homem,,,,,,,,,,,,,,,,
,Cargueira,11,23,38,21,16,12,8,7,19,13,7,24,7,4,210,"14,7%"
,Serviço,1,0,0,0,11,14,6,6,4,12,3,14,1,0,72,"5,0%"
,Contramao,11,29,24,20,14,25,17,19,19,24,35,54,48,24,363,"25,4%"
,Calçada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Dados qualitativos das observações,,,,,,,,,,,,,,,,,
,Característica,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TOTAL,%
,Chuveu,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Contramão para conversão,,,,,,,,,,,,,,,,
,Triciclo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Eletrica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Skate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0%"
,Handbike,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,"0,1%"