,,,
,CARACTERISTICA,HORA,QUANTIDADE
,Mulher,6,16
,Mulher,7,7
,Mulher,8,7
,Mulher,9,9
,Mulher,10,4
,Mulher,11,0
,Mulher,12,1
,Mulher,13,1
,Mulher,14,2
,Mulher,15,2
,Mulher,16,8
,Mulher,17,6
,Mulher,18,8
,Mulher,19,5
,Crianças e adolescentes,6,0
,Crianças e adolescentes,7,0
,Crianças e adolescentes,8,0
,Crianças e adolescentes,9,0
,Crianças e adolescentes,10,0
,Crianças e adolescentes,11,0
,Crianças e adolescentes,12,0
,Crianças e adolescentes,13,0
,Crianças e adolescentes,14,0
,Crianças e adolescentes,15,0
,Crianças e adolescentes,16,0
,Crianças e adolescentes,17,0
,Crianças e adolescentes,18,0
,Crianças e adolescentes,19,0
,Capacete,6,3
,Capacete,7,15
,Capacete,8,13
,Capacete,9,13
,Capacete,10,5
,Capacete,11,6
,Capacete,12,7
,Capacete,13,3
,Capacete,14,6
,Capacete,15,4
,Capacete,16,4
,Capacete,17,7
,Capacete,18,22
,Capacete,19,25
,Carona,6,3
,Carona,7,4
,Carona,8,3
,Carona,9,1
,Carona,10,0
,Carona,11,3
,Carona,12,0
,Carona,13,0
,Carona,14,2
,Carona,15,0
,Carona,16,3
,Carona,17,4
,Carona,18,6
,Carona,19,2
,Cargueira,6,11
,Cargueira,7,23
,Cargueira,8,38
,Cargueira,9,21
,Cargueira,10,16
,Cargueira,11,12
,Cargueira,12,8
,Cargueira,13,7
,Cargueira,14,19
,Cargueira,15,13
,Cargueira,16,7
,Cargueira,17,24
,Cargueira,18,7
,Cargueira,19,4
,Serviço,6,1
,Serviço,7,0
,Serviço,8,0
,Serviço,9,0
,Serviço,10,11
,Serviço,11,14
,Serviço,12,6
,Serviço,13,6
,Serviço,14,4
,Serviço,15,12
,Serviço,16,3
,Serviço,17,14
,Serviço,18,1
,Serviço,19,0
,Contramao,6,11
,Contramao,7,29
,Contramao,8,24
,Contramao,9,20
,Contramao,10,14
,Contramao,11,25
,Contramao,12,17
,Contramao,13,19
,Contramao,14,19
,Contramao,15,24
,Contramao,16,35
,Contramao,17,54
,Contramao,18,48
,Contramao,19,24